"Event_LegacyPollen","Event_PANGAEA","Event_Neotoma","Neotoma_DOI","Data_Source","Site_ID","Dataset_ID","Site_Name","Latitude","Longitude","Elevation","Continent","Archive_Type","Data_Type","Number_Pollen_Samples","AgeModel_Source","Number_Datings","minimum_meanAge","maximum_meanAge","mean_resolution_meanAge","range_meanAge","Site_Description","Submission_Pollendata","Publication_1","Publication_DOI_1","Publication_2","Publication_DOI_2","Publication_3","Publication_DOI_3","Publication_4","Publication_DOI_4","Publication_5","Publication_DOI_5","Publication_6","Publication_DOI_6","Publication_7","Publication_DOI_7","Publication_8","Publication_DOI_8"
"HUDSONLK","HUDSONLK","HUDSONLK","10.21233/n30t6k","LegacyPollen 1.0",1100,1133,"Hudson Lake",41.72,-86.55,239,"Eastern North America","Lake","Raw",73,"AWI",6,190,15659,214.8,15469,NA,"1969-08-01 00:00:00","Bailey, R.E., 1972. Late- and postglacial environmental changes in northwestern Indiana. Doctoral dissertation. Indiana University, Bloomington, Indiana, USA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HUMBER3","HUMBER3","HUMBER3","10.21233/n3562d","LegacyPollen 1.0",1102,1135,"Humber Pond 3",43.64,-79.48,74,"Eastern North America","Lake","Raw",59,"AWI",4,-42,4407,76.7,4449,"Floodplain pond. Physiography: Humber River floodplain. Surrounding vegetation: urban Toronto.",NA,"Weninger, J.M. and McAndrews, J.H., 1989. Late Holocene aggradation in the lower Humber River valley, Toronto, Ontario. Canadian Journal of Earth Sciences, 26(9), pp.1842-1849.","https://doi.org/10.1139/e89-157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HUMBER5","HUMBER5","HUMBER5","10.21233/n31g9k","LegacyPollen 1.0",1103,1136,"Humber Pond 5",43.64,-79.49,74,"Eastern North America","Lake","Raw",34,"AWI",3,-20,4491,136.7,4511,"Floodplain pond. Physiography: Humber River floodplain. Surrounding vegetation: urban Toronto.",NA,"Weninger, J.M. and McAndrews, J.H., 1989. Late Holocene aggradation in the lower Humber River valley, Toronto, Ontario. Canadian Journal of Earth Sciences, 26(9), pp.1842-1849.","https://doi.org/10.1139/e89-157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HUMBER7","HUMBER7","HUMBER7","10.21233/n3gt6x","LegacyPollen 1.0",1104,1137,"Humber Pond 7",43.65,-79.5,74,"Eastern North America","Lake","Raw",49,"AWI",2,-15,3741,78.2,3756,"Floodplain pond. Physiography: Humber River floodplain. Surrounding vegetation: urban Toronto.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HUSTLER","HUSTLER","HUSTLER","10.21233/n3c149","LegacyPollen 1.0",1105,1138,"Hustler Lake",48.22982,-92.1601,401,"Eastern North America","Lake","Raw",16,"Neotoma_PalEON-STEPPS",11,-32,144,11.7,176,"Drainage lake in Boundary Waters Area. Surrounding vegetation: pine/aspen/spruce.","1984-02-23 00:00:00","Charles, D.F. and Whitehead, D.R., 1984. Paleoecological Investigation of Recent Lake Acidification (PIRLA): December 1984 Status Report. RP 2174-10, Electric Power Research Institute, Palo Alto, CA.",NA,"Charles, D.F. and Whitehead, D.R., 1986. Paleoecological Investigation of Recent Lake Acidification (PIRLA): Methods and Project Description. EPRI EA-4906, Electric Power Research Institute, Palo Alto, CA.",NA,"Shane, L.C., 1987. Northern Great Lakes States pollen and charcoal data. PIRLA Unpublished Report Series 9, Indiana University, Bloomington, IN.",NA,"Kingston, J.C., Cook, R.B., Kreis, R.G., Camburn, K.E., Norton, S.A., Sweets, P.R., Binford, M.W., Mitchell, M.J., Schindler, S.C., Shane, L.C.K. and King, G.A., 1990. Paleoecological investigation of recent lake acidification in the northern Great Lakes states. Journal of Paleolimnology, 4(2), pp.153-201.","https://doi.org/10.1007/BF00226322",NA,NA,NA,NA,NA,NA,NA,NA
"HYNES","HYNES","HYNES","10.21233/n37b0n","LegacyPollen 1.0",1106,1139,"Hynes Brook Salt Marsh",48.61861,-58.965,0,"Eastern North America","Peat","Raw",32,"AWI",2,-50,3072,100.7,3122,"Salt marsh in stream channel. Physiography: salt marsh. Surrounding vegetation: salt marsh.",NA,"Brookes, I.A., Scott, D.B. and McAndrews, J.H., 1985. Postglacial relative sea-level change, Port au Port area, west Newfoundland. Canadian Journal of Earth Sciences, 22(7), pp.1039-1047.","https://doi.org/10.1139/e85-107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IGARKA","IGARKA","IGARKA","10.21233/n3cs6n","LegacyPollen 1.0",1108,1141,"Igarka Peat Exposure",67.66667,86,45,"Asia","Peat","Raw",22,"AWI",3,5655,11190,263.6,5535,"Buried peat exposed in river terrace. Physiography: lower river valley. Surrounding vegetation: Picea obovata-Larix sibirica forest.",NA,"Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia.",NA,"Il'ina, N.S., Lapshina, E.I. and Lavrenko, N.I., 1985. The vegetation cover of the western Siberia continental plateau. Nauka, Siberia Branch, Novosibirsk (in Russian).",NA,"Kats, S.V., 1953. History of vegetation of western Siberia during the Holocene. Bulletin of commission for study the Quaternary. Nauka, Moscow, 13, pp.118-123 (in Russian).",NA,"Levkovskaya, G.M., Kind, N.V., Zavel'skii, F.S. and Forova, V.S., 1970. Absolute age of peat from the Igarka region and Holocene zonal sequences of western Siberia. Bulletin of commission for study the Quaternary. Nauka, Moscow, 37, pp.94-101 (in Russian).",NA,"Orlova, V.V., 1962. Climate of the USSR: western Siberia. Gidrometizdat, Leningrad (in Russian).",NA,NA,NA,NA,NA,NA,NA
"IGLUTALK","IGLUTALK","IGLUTALK","10.21233/n3803n","LegacyPollen 1.0",1109,1142,"Iglutalik Lake",66.135,-66.0833,90,"Eastern North America","Lake","Raw",69,"AWI",5,-66,10535,155.9,10601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ilinka_Terrace","Ilinka_Terrace","ILINKA","10.21233/n30g8w","LegacyPollen 1.0",1111,1144,"Il'inka Terrace",47.96667,142.1667,3,"Asia","Coast","Raw",4,"AWI",3,646,2698,684,2052,"Exposure in marine terrace. Physiography: river mouth on sea coast. Surrounding vegetation: meadows and bogs.","1987-08-14 00:00:00","Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia.",NA,"Korotky, A., Grebennikova, T., Razjigaeva, N., Volkov, V., Mokhova, L., Ganzey, L. and Bazarova, V., 1997. Marine terraces of western Sakhalin Island. Catena, 30(1), pp.61-81.","https://doi.org/10.1016/S0341-8162(97)00002-7","Korotkiy, A.M., Pushkar, V.S., Grebennikova, T.A., Razzhigaeva, N.G., Karaulova, L.P., Mokhova, L.M., Ganzey, L.A., Cherepanova, M.N., Bazarova, V.B., Volkov, V.G. and Kovalyukh, N.N., 1997. Marine terraces and Quaternary history of the Sakhalin Shelf. Dal'nauka, Vladivostok (in Russian).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INDIAN","INDIAN","INDIAN","10.21233/tp4a-h605","LegacyPollen 1.0",1113,1147,"Indian Lake",50.91667,-90.45,383,"Eastern North America","Lake","Raw",28,"AWI",5,6763,10478,137.6,3715,"Large lake surrounded by glacial deposit. Physiography: thin commonly drumlinized till. Surrounding vegetation: black spruce/Jack pine/larch.","1981-08-01 00:00:00","Steventon, R.L. and Kutzbach, J.E., 1983. University of Wisconsin radiocarbon dates XX. Radiocarbon, 25(1), pp.152-168.","https://doi.org/10.1017/S0033822200005348","Bjorck, S., 1985. Deglaciation chronology and revegetation in northwestern Ontario. Canadian Journal of Earth Sciences, 22(6), pp.850-871.","https://doi.org/10.1139/e85-090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INDIANPF","INDIANPF","INDIANPF","10.21233/n36b0b","LegacyPollen 1.0",1114,1148,"Indian Prairie Fen",44.63333,-122.575,988,"Western North America","Peat","Raw",50,"AWI",6,330,15822,316.2,15492,"Fen in cirque valley. Physiography: Cascade Range. Surrounding vegetation: 2nd growth Pseudotsuga and Abies procera.","1992-01-01 00:00:00","Sea, D.S. and Whitlock, C., 1995. Postglacial vegetation and climate of the Cascade Range, central Oregon. Quaternary Research, 43(3), pp.370-381.","https://doi.org/10.1006/qres.1995.1043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INGLESBY","INGLESBY","INGLESBY","10.21233/n32m8w","LegacyPollen 1.0",1115,1149,"Inglesby Lake",44.48333,-77.05,167,"Eastern North America","Lake","Raw",28,"AWI",7,-26,11641,432.1,11667,"Marl-deposting lake of glacial origin.",NA,"Fritz, P., Morgan, A.V., Eicher, U. and McAndrews, J.H., 1987. Stable isotope, fossil Coleoptera and pollen stratigraphy in late Quaternary sediments from Ontario and New York State. Palaeogeography, Palaeoclimatology, Palaeoecology, 58(3-4), pp.183-202.","https://doi.org/10.1016/0031-0182(87)90059-9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRONBOG","IRONBOG","IRONBOG","10.21233/n3704q","LegacyPollen 1.0",1118,1152,"Keystone Iron Fen",38.865,-107.033,2920,"Western North America","Peat","Raw",31,"AWI",5,24.5,9258,307.8,9233.5,"Iron oxide acid fen. Physiography: small basin behind moraine along creek. Surrounding vegetation: Carex, Sphagnum, Eriophorum, Betula glandulosa.",NA,"Fall, P.L., 1988. Vegetation dynamics in the southern Rocky Mountains: late Pleistocene and Holocene timberline fluctuations. Doctoral dissertation. University of Arizona, Tucson, Arizona, USA.",NA,"Fall, P.L., 1985. Holocene dynamics of the subalpine forest in central Colorado. American Association of Stratigraphic Palynologists Contribution Series, 16, pp.31-46.",NA,"Fall, P., 1997. Fire history and composition of the subalpine forest of western Colorado during the Holocene. Journal of Biogeography, 24(3), pp.309-325.","https://doi.org/10.1046/j.1365-2699.1997.00094.x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRVIN","IRVIN","IRVIN","10.21233/n3392t","LegacyPollen 1.0",1119,1153,"Irvin Lake",47.13556,-93.6436,478,"Eastern North America","Lake","Raw",51,"Neotoma_Neotoma 1",7,-30,13641,273.4,13671,"Kettle lake. Physiography: Sugar Hills area, rough rolling topo. Surrounding vegetation: Alnus, Fraxinus, Betula, Thuja, Abies.","1980-12-01 00:00:00","Alwin, B.C., 1982. Vegetation history of the Sugar Hills area, Itasca Co., Minnesota. Master's thesis. University of Minnesota, Minneapolis, Minnesota, USA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITAPEVA","ITAPEVA","ITAPEVA","10.21233/n3jm87","LegacyPollen 1.0",1120,1154,"Morro de Itapeva",-22.7833,-45.5333,1850,"South America","Peat","Raw",43,"AWI",9,-51,39597,944,39648,"Peat bog. Physiography: small basin,next to the steep escarpment. Surrounding vegetation: Araucaria forest and campos.","1993-08-01 00:00:00","Behling, H., 1997. Late Quaternary vegetation, climate and fire history from the tropical mountain region of Morro de Itapeva, SE Brazil. Palaeogeography, Palaeoclimatology, Palaeoecology, 129(3-4), pp.407-422.","https://doi.org/10.1016/S0031-0182(97)88177-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IVAN3","IVAN3","IVAN3","10.21233/n3dt69","LegacyPollen 1.0",1121,1155,"Ivanovskoye Peat Bog",56.81667,38.76667,141,"Europe","Peat","Raw",33,"AWI",9,113,8334,256.9,8221,"Peat bog. Physiography: periglacial lake of middle Pleistocene. Surrounding vegetation: birch-pine forest and Carex assosiations.","1986-01-01 00:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Izylmetevskaya","Izylmetevskaya","IZYLEMET","10.21233/n3942z","LegacyPollen 1.0",1122,1156,"Izylmet'evskaya Terrace Exposure 3410",48.81667,141.9667,4,"Asia","Coast","Raw",15,"AWI",5,3015,4817,128.7,1802,"Exposure in marine terrace. Physiography: coastal plain. Surrounding vegetation: Larix forest with bogs.","1987-09-06 00:00:00","Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia.",NA,"Korotky, A., Grebennikova, T., Razjigaeva, N., Volkov, V., Mokhova, L., Ganzey, L. and Bazarova, V., 1997. Marine terraces of western Sakhalin Island. Catena, 30(1), pp.61-81.","https://doi.org/10.1016/S0341-8162(97)00002-7","Korotkiy, A.M., Pushkar, V.S., Grebennikova, T.A., Razzhigaeva, N.G., Karaulova, L.P., Mokhova, L.M., Ganzey, L.A., Cherepanova, M.N., Bazarova, V.B., Volkov, V.G. and Kovalyukh, N.N., 1997. Marine terraces and Quaternary history of the Sakhalin Shelf. Dal'nauka, Vladivostok (in Russian).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JACKLAKE","JACKLAKE","JACKLAKE","10.21233/n35b01","LegacyPollen 1.0",1123,1157,"Jack Lake",47.31667,-81.7667,430,"Eastern North America","Lake","Raw",47,"AWI",3,-34,12754,278,12788,"Small lake on sandy till. Physiography: rolling Canadian Shield uplands. Surrounding vegetation: Betula/Abies/Picea/Populus/Pinus/Acer.",NA,"Liu, K.B. and Lam, N.S.N., 1985. Paleovegetational reconstruction based on modern and fossil pollen data: an application of discriminant analysis. Annals of the Association of American Geographers, 75(1), pp.115-130.","https://doi.org/10.1111/j.1467-8306.1985.tb00062.x","Liu, K.B., 1990. Holocene paleoecology of the boreal forest and Great Lakes-St. Lawrence forest in northern Ontario. Ecological Monographs, 60(2), pp.179-212.","https://doi.org/10.2307/1943044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JACKLOND","JACKLOND","JACKLOND","10.21233/n31m8k","LegacyPollen 1.0",1124,1158,"Jack London Lake",62.07229,149.5398,820,"Asia","Lake","Raw",60,"AWI",5,208,17872,299.4,17664,"Morainally dammed lake. Physiography: glacial topography in mountains. Surrounding vegetation: larch forest.","1989-07-01 00:00:00","Lozhkin, A.V., Anderson, P.M., Eisner, W.R., Ravako, L.G., Hopkins, D.M., Brubaker, L.B., Colinvaux, P.A. and Miller, M.C., 1993. Late Quaternary lacustrine pollen records from southwestern Beringia. Quaternary Research, 39(3), pp.314-324.","https://doi.org/10.1006/qres.1993.1038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JACKSON_neotoma","JACKSON_neotoma","JACKSON","10.21233/n3634f","LegacyPollen 1.0",1125,1160,"Jackson Pond",37.43255,-85.7246,260,"Eastern North America","Lake","Raw",58,"AWI",6,-34,26113,458.7,26147,"Pond is a circular, shallow sinkhole (3.5 ha) in a karst up-land of gentle relief. Hillcrests are 10-15 m above the surface of the basin. Most of the surrounding area is in cropland or pasture, with scattered woodlots of Quercus and Carya spp. Fagus grandifolia, Fraxinus americana, Acer saccharum, and other mesic species occur in valley bottoms. The basin itself at the time of coring was vegetated by emergent Nuphar, graminoids (Cyperaceae and Poaceae), and scattered individuals of C. occidentalis and A. saccharum.","1983-01-01 00:00:00","Wilkins, G.R., 1985. Late-Quaternary Vegetational History at Jackson Pond Larue County, Kentucky. Master's thesis. The University of Tennessee, Knoxville, Tennessee, USA.",NA,"Wilkins, G.R., Delcourt, P.A., Delcourt, H.R., Harrison, F.W. and Turner, M.R., 1991. Paleoecology of central Kentucky since the last glacial maximum. Quaternary Research, 36(2), pp.224-239.","https://doi.org/10.1016/0033-5894(91)90027-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wrangle_Island_JackLondonLake","JACKW","JACKW","10.21233/n3290r","LegacyPollen 1.0",1126,1161,"Jack London Lake",70.89417,179.6236,7,"Asia","Lake","Raw",20,"AWI",6,321,15024,773.8,14703,"Shallow lake on coastal plain. Surrounding vegetation: Cyperaceae-Poaceae tundra.",NA,"Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia.",NA,"Lozhkin, A.V., Anderson, P.M., Vartanyan, S.L., Brown, T.A., Belaya, B.V. and Kotov, A.N., 2001. Late Quaternary paleoenvironments and modern pollen data from Wrangel Island (Northern Chukotka). Quaternary Science Reviews, 20(1-3), pp.217-233.","https://doi.org/10.1016/S0277-3791(00)00121-9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JACOB","JACOB","JACOB","10.21233/n3hm8x","LegacyPollen 1.0",1127,1162,"Jacob Lake",34.33333,-110.833,2285,"Western North America","Lake","Raw",20,"AWI",3,-22,24586.5,1295.2,24608.5,"Ephemeral lake/sinkhole in sandstone. Physiography: Mogollon Rim. Surrounding vegetation: ponderosa pine forest.","1981-02-21 00:00:00","Jacobs, B.F., 1983. Past vegetation and climate of the Mogollon Rim Area, Arizona. Doctoral dissertation. University of Arizona, Tucson, Arizona, USA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JBL004","JBL004","JBL004","10.21233/n3bx4z","LegacyPollen 1.0",1136,1171,"James Bay",50.22,-80.2,267,"Eastern North America","Lake","Raw",25,"AWI",3,-17,3257,136.4,3274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JEAN","JEAN","JEAN","10.21233/n31w6k","LegacyPollen 1.0",1219,1254,"Saint-Jean Ile d'Orléans",46.93278,-70.9328,68,"Eastern North America","Peat","Raw",24,"AWI",4,93,11712,505.2,11619,"Ombrotrophic bog, ericaceous, treed. Physiography: rock basin and clay veneer, plateau. Surrounding vegetation: Tilio - Aceretum sacchari.","1969-07-23 00:00:00","Richard, P.J.H., 1971. Two pollen diagrams from the Quebec City area, Canada. Pollen et Spores, 13, pp.523-559.",NA,"Richard, P.J.H., 1977. Histoire post-wisconsinienne de la vegetation du Quebec meridional par l'analyse pollinique. Service de la recherche, Direction generale des forets, Ministere des Terres et Forets du Quebec (in French).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JEWELL","JEWELL","JEWELL","10.21233/n3h72v","LegacyPollen 1.0",1220,1255,"Jewell Site",42.26,-93.7,317,"Eastern North America","Lake","Raw",55,"AWI",7,1279,17529,300.9,16250,"Drained lake. Physiography: Altamont Moraine, rolling. Surrounding vegetation: agricultural.","1985-07-01 00:00:00","Kim, H.K., 1986. Late-glacial and Holocene environment in central Iowa: a comparative study of pollen data from four sites. Doctoral dissertation. University of Iowa, Iowa City, Iowa, USA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JOELAKE","JOELAKE","JOELAKE","10.21233/n39t6c","LegacyPollen 1.0",1355,1390,"Joe Lake",66.76667,-157.217,183,"Western North America","Lake","Raw",87,"AWI",18,-49,50044,582.5,50093,"Lake in glacial outwash. Physiography: rolling uplands. Surrounding vegetation: birch-alder shrub tundra.","1989-05-01 00:00:00","Anderson, P.M., 1988. Late Quaternary pollen records from the Kobuk and Noatak River drainages, northwestern Alaska. Quaternary Research, 29(3), pp.263-276.","https://doi.org/10.1016/0033-5894(88)90035-X","ACER project members; Sanchez Goñi, Maria Fernanda; Desprat, Stéphanie; Daniau, Anne-Laure; Anderson, Patricia M; Bartlein, Patrick J; Brubaker, Linda B (2017): CLAM age model and pollen profile of sediment core Joe_Lake. PANGAEA","https://doi.org/10.1594/PANGAEA.872870","Anderson, P.M., Bartlein, P.J. and Brubaker, L.B., 1994. Late Quaternary history of tundra vegetation in northwestern Alaska. Quaternary Research, 41(3), pp.306-315.","https://doi.org/10.1006/qres.1994.1035","Sánchez Goñi, M.F., Desprat, S., Daniau, A.L., Bassinot, F.C., Polanco-Martínez, J.M., Harrison, S.P., Allen, J.R., Anderson, R.S., Behling, H., Bonnefille, R. and Burjachs, F., 2017. The ACER pollen and charcoal database: a global resource to document vegetation and fire response to abrupt climate changes during the last glacial period. Earth System Science Data, 9(2), pp.679-695.","https://doi.org/10.5194/essd-9-679-2017",NA,NA,NA,NA,NA,NA,NA,NA
"JOES3","JOES3","JOES3","10.21233/n3643d","LegacyPollen 1.0",1356,1391,"Joes Pond",48.24,-58.24,100,"Eastern North America","Lake","Raw",57,"AWI",3,-19,16016,286.3,16035,NA,NA,"Anderson, T. and Lewis, C.F., 1992. Climatic influences of deglacial drainage changes in southern Canada at 10 to 8 ka suggested by pollen evidence. Geographie physique et Quaternaire, 46(3), pp.255-272.","https://doi.org/10.7202/032913ar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
